app,cluster,isNamespaced,critical,team,storeID,type,service,name,namespace,runID,class,id,label
,kind-kubehound.test.local,true,false,,686cdf52dce18c406e3d265d,ServiceAccount,,ephemeral-volume-controller,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,983872,Identity
,kind-kubehound.test.local,true,false,,686cdf51dce18c406e3d2654,ServiceAccount,,endpointslice-controller,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,984600,Identity
,kind-kubehound.test.local,true,false,,686cdf52dce18c406e3d26a2,ServiceAccount,,resourcequota-controller,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1048776,Identity
,kind-kubehound.test.local,true,false,,686cdf51dce18c406e3d263c,ServiceAccount,,daemon-set-controller,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1050056,Identity
,kind-kubehound.test.local,true,false,,686cdf51dce18c406e3d262d,ServiceAccount,,certificate-controller,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1051960,Identity
,kind-kubehound.test.local,true,false,,686cdf52dce18c406e3d26a8,ServiceAccount,,route-controller,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1114312,Identity
,kind-kubehound.test.local,true,false,,686cdf52dce18c406e3d2693,ServiceAccount,,pod-garbage-collector,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1114944,Identity
,kind-kubehound.test.local,true,false,,686cdf52dce18c406e3d2667,ServiceAccount,,generic-garbage-collector,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1115672,Identity
,kind-kubehound.test.local,true,false,,686cdf52dce18c406e3d26ab,ServiceAccount,,selinux-warning-controller,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1179848,Identity
,kind-kubehound.test.local,true,false,,686cdf52dce18c406e3d26c0,ServiceAccount,,validatingadmissionpolicy-status-controller,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1180480,Identity
,kind-kubehound.test.local,true,false,,686cdf52dce18c406e3d2660,ServiceAccount,,expand-controller,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1181128,Identity
,kind-kubehound.test.local,true,false,,686cdf52dce18c406e3d2673,ServiceAccount,,job-controller,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1181208,Identity
,kind-kubehound.test.local,true,false,,686cdf52dce18c406e3d269c,ServiceAccount,,replicaset-controller,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1183032,Identity
,kind-kubehound.test.local,true,false,,686cdf52dce18c406e3d26b4,ServiceAccount,,service-controller,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1245384,Identity
,kind-kubehound.test.local,true,false,,686cdf52dce18c406e3d26b1,ServiceAccount,,service-cidrs-controller,kube-system,01jzmmdybqgekbn439fjdz6she,Identity,1246664,Identity
