app,cluster,isNamespaced,critical,serviceAccount,team,storeID,shareProcessNamespace,node,service,name,namespace,runID,compromised,class,id,label
,kind-kubehound.test.local,true,false,kube-proxy,,686cdf53dce18c406e3d278a,false,kubehound.test.local-worker,,kube-proxy-npl22,kube-system,01jzmmdybqgekbn439fjdz6she,0,Pod,1838392,Pod
kindnet,kind-kubehound.test.local,true,false,kindnet,,686cdf53dce18c406e3d276d,false,kubehound.test.local-worker2,,kindnet-x4h52,kube-system,01jzmmdybqgekbn439fjdz6she,0,Pod,1573216,Pod
secret-vault,kind-kubehound.test.local,true,false,default,,686cdf53dce18c406e3d279d,false,kubehound.test.local-worker2,,vault-pod,vault,01jzmmdybqgekbn439fjdz6she,0,Pod,1574208,Pod
,kind-kubehound.test.local,true,false,kube-proxy,,686cdf53dce18c406e3d2784,false,kubehound.test.local-worker2,,kube-proxy-gkf4g,kube-system,01jzmmdybqgekbn439fjdz6she,0,Pod,1772856,Pod
,kind-kubehound.test.local,true,false,,,686cdf53dce18c406e3d277b,false,kubehound.test.local-control-plane,,kube-controller-manager-kubehound.test.local-control-plane,kube-system,01jzmmdybqgekbn439fjdz6she,0,Pod,1638752,Pod
local-path-provisioner,kind-kubehound.test.local,true,false,local-path-provisioner-service-account,,686cdf53dce18c406e3d2799,false,kubehound.test.local-control-plane,,local-path-provisioner-7dc846544d-vjh5x,local-path-storage,01jzmmdybqgekbn439fjdz6she,0,Pod,1442624,Pod
,kind-kubehound.test.local,true,false,kube-proxy,,686cdf53dce18c406e3d2790,false,kubehound.test.local-control-plane,,kube-proxy-xvk9p,kube-system,01jzmmdybqgekbn439fjdz6she,0,Pod,1639880,Pod
,kind-kubehound.test.local,true,false,,,686cdf53dce18c406e3d275b,false,kubehound.test.local-control-plane,,etcd-kubehound.test.local-control-plane,kube-system,01jzmmdybqgekbn439fjdz6she,0,Pod,1641784,Pod
kindnet,kind-kubehound.test.local,true,false,kindnet,,686cdf53dce18c406e3d2766,false,kubehound.test.local-control-plane,,kindnet-dxmbd,kube-system,01jzmmdybqgekbn439fjdz6she,0,Pod,1707320,Pod
,kind-kubehound.test.local,true,false,coredns,,686cdf53dce18c406e3d2754,false,kubehound.test.local-control-plane,,coredns-674b8bbfcf-dj6vm,kube-system,01jzmmdybqgekbn439fjdz6she,0,Pod,1967640,Pod
