app,cluster,isNamespaced,addresses,serviceDns,addressType,team,portName,serviceEndpoint,storeID,protocol,exposure,port,service,name,namespace,runID,compromised,class,id,label
,kind-kubehound.test.local,true,[10.244.0.3],kube-dns.kube-system,IPv4,,dns,kube-dns,686cdf53dce18c406e3d26e2,UDP,3,53,,kube-dns-pggqs::UDP::dns,kube-system,01jzmmdybqgekbn439fjdz6she,0,Endpoint,1048624,Endpoint
,kind-kubehound.test.local,true,[10.244.0.2],kube-dns.kube-system,IPv4,,dns-tcp,kube-dns,686cdf53dce18c406e3d26e3,TCP,3,53,,kube-dns-pggqs::TCP::dns-tcp,kube-system,01jzmmdybqgekbn439fjdz6she,0,Endpoint,1114160,Endpoint
,kind-kubehound.test.local,true,[10.244.0.3],kube-dns.kube-system,IPv4,,dns-tcp,kube-dns,686cdf53dce18c406e3d26e4,TCP,3,53,,kube-dns-pggqs::TCP::dns-tcp,kube-system,01jzmmdybqgekbn439fjdz6she,0,Endpoint,1376456,Endpoint
,kind-kubehound.test.local,true,[10.244.0.2],kube-dns.kube-system,IPv4,,metrics,kube-dns,686cdf53dce18c406e3d26df,TCP,3,9153,,kube-dns-pggqs::TCP::metrics,kube-system,01jzmmdybqgekbn439fjdz6she,0,Endpoint,1311072,Endpoint
kubehound-edge-test,kind-kubehound.test.local,true,[10.244.1.8],,IPv4,,host-port-svc,host-port-svc,686cdf53dce18c406e3d26ef,TCP,2,1111,,default::endpoints-pod::TCP::1111,default,01jzmmdybqgekbn439fjdz6she,0,Endpoint,2033096,Endpoint
,kind-kubehound.test.local,true,[10.244.1.8],webproxy-service.default,IPv4,,webproxy-service-port,webproxy-service,686cdf53dce18c406e3d26de,TCP,3,80,,webproxy-service-9g22g::TCP::webproxy-service-port,default,01jzmmdybqgekbn439fjdz6she,0,Endpoint,1574424,Endpoint
,kind-kubehound.test.local,true,[10.244.0.3],kube-dns.kube-system,IPv4,,metrics,kube-dns,686cdf53dce18c406e3d26e0,TCP,3,9153,,kube-dns-pggqs::TCP::metrics,kube-system,01jzmmdybqgekbn439fjdz6she,0,Endpoint,1705496,Endpoint
kubehound-edge-test,kind-kubehound.test.local,true,[10.244.1.8],,IPv4,,jmx,jmx,686cdf53dce18c406e3d26f0,TCP,1,9999,,default::endpoints-pod::TCP::9999,default,01jzmmdybqgekbn439fjdz6she,0,Endpoint,2885144,Endpoint
,kind-kubehound.test.local,true,[10.244.0.2],kube-dns.kube-system,IPv4,,dns,kube-dns,686cdf53dce18c406e3d26e1,UDP,3,53,,kube-dns-pggqs::UDP::dns,kube-system,01jzmmdybqgekbn439fjdz6she,0,Endpoint,1510712,Endpoint
