from,to,attckTechniqueID,attckTacticID,label
2164248,984088,T1080,TA0008,SHARE_PS_NAMESPACE (Container to Container)
1115928,1836352,T1080,TA0008,SHARE_PS_NAMESPACE (Container to Container)
1969464,1836352,T1080,TA0008,SHARE_PS_NAMESPACE (Container to Container)
984088,2164248,T1080,TA0008,SHARE_PS_NAMESPACE (Container to Container)
1836352,1115928,T1080,TA0008,SHARE_PS_NAMESPACE (Container to Container)
1969464,1115928,T1080,TA0008,SHARE_PS_NAMESPACE (Container to Container)
1115928,1969464,T1080,TA0008,SHARE_PS_NAMESPACE (Container to Container)
1836352,1969464,T1080,TA0008,SHARE_PS_NAMESPACE (Container to Container)
