from,to,attckTacticID,attckTechniqueID,label
327880,327880,TA0002,T1609,POD_PATCH (PermissionSet to PermissionSet)
655560,655560,TA0002,T1609,POD_PATCH (PermissionSet to PermissionSet)
786632,786632,TA0002,T1609,POD_PATCH (PermissionSet to PermissionSet)
786784,786784,TA0002,T1609,POD_PATCH (PermissionSet to PermissionSet)
525120,525120,TA0002,T1609,POD_PATCH (PermissionSet to PermissionSet)
132416,132416,TA0002,T1609,POD_PATCH (PermissionSet to PermissionSet)
394560,394560,TA0002,T1609,POD_PATCH (PermissionSet to PermissionSet)
591384,591384,TA0002,T1609,POD_PATCH (PermissionSet to PermissionSet)
1050136,1050136,TA0002,T1609,POD_PATCH (PermissionSet to PermissionSet)
